user_id,lat,lon,radius
98105659,44.49967,26.167698,89.0
89549511,43.5292866,6.4646433,86.0
89549511,43.5356758,6.3894062,80.0
89549511,43.5297572,6.385427,87.0
91218203,52.1255799,26.0710622,80.0
89503968,55.8813352,48.3870701,80.0
89503968,55.8542016,48.3519506,80.0
89503968,56.69449,48.2149078,80.0
89503968,55.880526,48.3902113,99.0
89503968,55.91391,48.33822,99.0
89503968,55.887237,48.3223718,99.0
83856999,55.6374994,37.5317042,80.0
46504942,59.2089285,39.8344306,49.0
46504942,59.20207,39.8377696,69.0
46504942,59.1952946,39.8307543,39.0
46504942,59.19231,39.83169,111.0
46504942,59.2012899,39.8231301,99.0
98558241,-1.2658426,-78.6335988,80.0
90565833,39.9530147,-75.2337756,80.0
90565833,39.9865461,-75.2419527,82.0
92875421,45.2900473,21.8801801,80.0
92875421,45.293624,21.9010476,80.0
92875421,45.2918501,21.8890401,99.0
92875421,45.3167399,21.8786301,99.0
95075868,48.8168136,44.6265896,80.0
95075868,48.7938716,44.5974229,99.0
92094855,54.944392,73.3419712,80.0
92094855,54.9740888,73.264344,99.0
85222707,43.9167969,39.3225886,107.0
85222707,43.9140501,39.3249336,80.0
85222707,43.90953,39.3271182,99.0
85222707,43.9192999,39.3188101,99.0
82021036,37.4891065,126.7578106,80.0
82021036,37.5112764,126.7587097,80.0
59527642,47.0562299,28.8863854,80.0
59527642,47.0456579,28.8864891,93.0
59527642,47.0545927,28.8877437,80.0
59527642,47.0516995,28.8889961,80.0
59527642,47.0101208,29.1276324,80.0
91940297,55.1246241,36.6164508,80.0
91940297,55.1226717,36.6171,80.0
91940297,55.1020327,36.6096583,80.0
96018590,56.228791,93.5573012,99.0
96018590,56.228234,93.533625,99.0
96018590,56.235375,93.552793,99.0
97518634,45.64598,25.63315,100.0
97518634,45.6480147,25.6347292,83.0
97518634,45.7123152,25.7719131,81.0
94617093,-23.675102,-46.7635848,80.0
94617093,-23.664093,-46.7084449,91.0
94617093,-23.679798,-46.754999,91.0
94617093,-23.652551,-46.704574,91.0
94617093,-23.6775643,-46.7634805,91.0
94617093,-23.6534516,-46.710151,80.0
60215105,39.6236841,16.5054965,50.0
60215105,39.6322431,16.5120726,80.0
60215105,39.6284561,16.5125098,80.0
84884274,59.6190684,60.5818132,80.0
84884274,59.5937092,60.5757893,100.0
84884274,59.603125,60.5659918,100.0
84884274,59.6073827,60.5755009,80.0
84085509,47.2320254,39.7525391,80.0
84085509,47.230055,39.749198,80.0
84085509,47.232124,39.7450761,80.0
84085509,47.235347,39.6987611,99.0
84085509,47.2287591,39.6486453,80.0
76733345,48.7771225,44.5672443,80.0
76733345,48.7759395,44.5697633,80.0
82748909,48.7320501,9.31999,80.0
66912471,43.3877309,-6.0701934,50.0
66912471,43.3921859,-6.0674569,99.0
66912471,43.3820489,-6.0722848,99.0
66912471,43.3844001,-6.0726379,99.0
91472803,52.544992,7.8782879,80.0
91472803,52.5464254,7.8859671,94.0
91472803,52.48149,7.9309051,99.0
91472803,52.6772899,7.9580401,99.0
96954908,49.7180289,39.8533498,80.0
96954908,49.7044024,39.82427,90.0
96954908,49.699925,39.8588799,80.0
63948677,59.4948433,18.3107872,80.0
63948677,59.4980101,18.3325809,130.0
63948677,59.5000215,18.3180429,163.0
62353166,52.0350327,4.2934662,80.0
97223388,58.4051835,97.4312301,80.0
97223388,58.4050099,97.4411499,99.0
92735511,47.2348083,28.82364,80.0
98424303,47.2844336,1.513916,80.0
98424303,47.36864,1.73915,93.0
93532891,51.4593326,-0.4763666,80.0
93532891,51.4097376,-0.4248715,80.0
93532891,51.45733,-0.4802806,80.0
93532891,51.466492,-0.387038,80.0
93532891,51.4986427,-0.3911832,80.0
97743288,40.5757517,48.38452,80.0
92247863,32.7673881,34.96785,80.0
92247863,32.760032,34.9765799,641.0
94817531,42.4666501,-2.4359299,99.0
94817531,42.4621301,-2.4366001,98.0
60255096,32.3080705,34.8744383,79.0
60255096,32.3104689,34.8734593,79.0
60255096,32.3080266,34.8744638,50.0
95895748,47.0626599,142.0554301,99.0
95895748,47.0632999,142.0619301,99.0
95895748,47.0632901,142.05828,99.0
75336962,58.5993022,49.6491708,50.0
75336962,58.5972602,49.6569264,80.0
75336962,58.5981503,49.6614013,80.0
75336962,58.5984141,49.6535887,80.0
75336962,58.5985713,49.6597571,80.0
75336962,58.5955658,49.6523143,80.0
75336962,58.5966203,49.6541439,80.0
75336962,58.5999272,49.6604263,80.0
75336962,58.5706001,49.6851801,99.0
75336962,58.60373,49.6542499,99.0
93648173,51.547692,-0.252879,80.0
93648173,51.5250793,-0.2809778,99.0
93648173,51.5631841,-0.2362889,99.0
93648173,51.584342,-0.30581,99.0
93648173,51.562579,-0.2205051,99.0
85787017,62.041652,129.75823,80.0
85787017,62.04033,129.7526701,99.0
85787017,62.041824,129.7325049,99.0
85404979,45.2697551,-72.1480899,80.0
85404979,45.3681631,-71.4514199,80.0
85404979,45.2732101,-72.1666501,99.0
85404979,45.2773698,-72.1414229,263.0
85404979,45.25909,-72.1431801,99.0
77738972,53.8440439,27.5694743,80.0
77738972,53.8425591,27.5668638,80.0
77738972,53.8423761,27.5669798,80.0
77738972,53.8423825,27.5669151,80.0
96580252,60.0006551,30.2068773,80.0
96580252,59.9990123,30.2043272,81.0
97533603,49.418271,4.2463,80.0
82403867,41.646145,-4.7206453,80.0
82403867,41.6540861,-4.6319507,80.0
98408255,50.5589874,30.6431686,80.0
98408255,50.51919,30.613534,99.0
89439351,46.8978326,18.1345301,80.0
89439351,46.8907208,18.1291818,80.0
89439351,46.88576,18.15734,99.0
89439351,46.9037646,18.0535067,80.0
89439351,46.8791001,18.13635,98.0
94784829,50.963205,22.1504468,80.0
94784829,50.9590001,22.1608109,111.0
94910086,43.5916188,26.528407,80.0
94910086,43.5303645,26.5284537,87.0
91048169,40.701018,14.7111681,80.0
91048169,40.7016166,14.7129112,80.0
91048169,40.7111901,14.7128596,80.0
60131137,55.7210589,37.4113396,92.0
60131137,55.7203777,37.4179498,81.0
35845201,43.1230141,131.8764463,261.0
35845201,43.1246694,131.944277,84.0
35845201,43.1213101,131.9518762,83.0
35845201,43.3545912,132.2073717,80.0
35845201,43.1281235,131.9390386,162.0
43666346,15.391056,73.8213514,69.0
43666346,15.3933353,73.8232149,80.0
94357217,59.3833964,28.1640392,80.0
94357217,59.3848064,28.1703018,99.0
94357217,59.3851242,28.1926892,80.0
13446878,61.4754779,21.708111,34.0
13446878,61.4790778,21.7121293,10.0
13446878,61.4847512,21.7206627,76.0
13446878,61.4896954,21.7050713,261.0
13446878,62.141994,24.497787,135.0
13446878,61.506088,23.748902,132.0
13446878,61.495019,21.799989,132.0
13446878,61.479998,21.80715,132.0
78592750,53.3403896,83.6756908,80.0
78592750,53.3416361,83.6760693,80.0
78592750,53.3412363,83.6624454,80.0
78592750,53.3357081,83.6846701,80.0
87245782,51.310639,-0.6994374,80.0
87245782,51.3294185,-0.6986948,183.0
87245782,51.3198557,-0.7241211,128.0
87245782,51.3016246,-1.0642613,96.0
87245782,51.3240997,-0.7047145,101.0
87245782,51.3253249,-0.7070026,101.0
